Entry	Gene ontology IDs	Cross-reference (InterPro)
Q13490	GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0002756; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0010803; GO:0016579; GO:0016740; GO:0031398; GO:0033209; GO:0034121; GO:0035631; GO:0035666; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0044877; GO:0045088; GO:0045121; GO:0045471; GO:0045595; GO:0047485; GO:0050727; GO:0051087; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:2000116; GO:2000377	IPR001370;IPR041933;IPR001315;IPR011029;IPR001841;
Q13492	GO:0000149; GO:0001540; GO:0005545; GO:0005546; GO:0005634; GO:0005769; GO:0005794; GO:0005829; GO:0005886; GO:0005905; GO:0006897; GO:0006898; GO:0006900; GO:0007409; GO:0007611; GO:0008021; GO:0009986; GO:0010629; GO:0016020; GO:0016185; GO:0016188; GO:0016192; GO:0016197; GO:0030097; GO:0030100; GO:0030136; GO:0030276; GO:0031224; GO:0031267; GO:0031623; GO:0031982; GO:0032050; GO:0032880; GO:0035459; GO:0042734; GO:0043025; GO:0043231; GO:0043547; GO:0045211; GO:0045296; GO:0045334; GO:0045893; GO:0048156; GO:0048261; GO:0048268; GO:0048471; GO:0048813; GO:0050750; GO:0055072; GO:0061024; GO:0065003; GO:0070381; GO:0072583; GO:0090647; GO:0097418; GO:0097494; GO:0097753; GO:0098894; GO:0150093; GO:1901216; GO:1902004; GO:1902959; GO:1902961; GO:1902963; GO:1903077; GO:1905224; GO:2000009	IPR011417;IPR014712;IPR013809;IPR008942;IPR030412;
Q13495	GO:0005654; GO:0005794; GO:0005813; GO:0006357; GO:0008584; GO:0016604	IPR026131;
Q13501	GO:0000122; GO:0000407; GO:0000422; GO:0000423; GO:0000425; GO:0000932; GO:0001934; GO:0002376; GO:0002931; GO:0004674; GO:0005080; GO:0005654; GO:0005737; GO:0005739; GO:0005770; GO:0005776; GO:0005783; GO:0005829; GO:0006511; GO:0006914; GO:0006915; GO:0007032; GO:0008104; GO:0008270; GO:0010821; GO:0016197; GO:0016234; GO:0016235; GO:0016236; GO:0016605; GO:0019899; GO:0019901; GO:0030017; GO:0030154; GO:0030971; GO:0031397; GO:0031625; GO:0035255; GO:0035556; GO:0035973; GO:0042169; GO:0042802; GO:0043065; GO:0043066; GO:0043122; GO:0043130; GO:0043231; GO:0044753; GO:0044754; GO:0044877; GO:0045944; GO:0046578; GO:0061635; GO:0061912; GO:0070062; GO:0070498; GO:0070530; GO:0097225; GO:0097413; GO:0098780; GO:1900273; GO:1903078; GO:1905719	IPR000270;IPR034866;IPR033741;IPR015940;IPR009060;IPR000433;IPR043145;
Q13503	GO:0003712; GO:0003713; GO:0003899; GO:0006357; GO:0016592; GO:0045944	IPR037212;IPR021384;
Q13506	GO:0001958; GO:0003712; GO:0005634; GO:0005654; GO:0006355; GO:0007399; GO:0008134; GO:0014037; GO:0042552; GO:0045682; GO:0045892	IPR006986;IPR006989;IPR039040;IPR006988;IPR038398;
Q13516	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0005737; GO:0006357; GO:0021522; GO:0021530; GO:0021794; GO:0030182; GO:0042552; GO:0042802; GO:0045665; GO:0046983; GO:0048663; GO:0048714; GO:0071837; GO:1990837	IPR011598;IPR036638;IPR032658;
Q13526	GO:0000413; GO:0001666; GO:0001932; GO:0001934; GO:0003755; GO:0003774; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0007049; GO:0007088; GO:0008013; GO:0010468; GO:0016607; GO:0016859; GO:0030182; GO:0030496; GO:0030512; GO:0031434; GO:0031647; GO:0032091; GO:0032092; GO:0032465; GO:0032480; GO:0032794; GO:0035307; GO:0036064; GO:0042177; GO:0043005; GO:0043524; GO:0043525; GO:0043547; GO:0045944; GO:0048156; GO:0050808; GO:0050815; GO:0050816; GO:0050821; GO:0051219; GO:0051443; GO:0060393; GO:0061051; GO:0070373; GO:0090263; GO:0098978; GO:0099524; GO:1900180; GO:1901796; GO:1902430; GO:2000146	IPR000297;IPR023058;IPR001202;IPR036020;
Q13535	GO:0000077; GO:0000723; GO:0003677; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005794; GO:0006260; GO:0006281; GO:0006974; GO:0007275; GO:0008156; GO:0016605; GO:0018105; GO:0031297; GO:0032212; GO:0032405; GO:0032407; GO:0034644; GO:0036297; GO:0042493; GO:0043517; GO:0046777; GO:0070198; GO:0071480; GO:0090399; GO:0097694; GO:0097695; GO:0106310; GO:0106311; GO:1900034; GO:1901796; GO:1904884	IPR011989;IPR016024;IPR003152;IPR021133;IPR011009;IPR000403;IPR036940;IPR018936;IPR003151;IPR014009;IPR011990;IPR012993;
Q13536	GO:0005634; GO:0045944	
Q13546	GO:0001934; GO:0002756; GO:0004672; GO:0004674; GO:0004706; GO:0005123; GO:0005524; GO:0005739; GO:0005829; GO:0005886; GO:0006915; GO:0006919; GO:0006954; GO:0007249; GO:0007257; GO:0008219; GO:0010008; GO:0010803; GO:0010940; GO:0016579; GO:0019054; GO:0031264; GO:0031625; GO:0032757; GO:0032760; GO:0032991; GO:0033209; GO:0034138; GO:0034612; GO:0035666; GO:0036289; GO:0042802; GO:0042803; GO:0043065; GO:0043066; GO:0043068; GO:0043123; GO:0043124; GO:0043235; GO:0044257; GO:0044877; GO:0045121; GO:0045651; GO:0045944; GO:0046330; GO:0046777; GO:0050729; GO:0051092; GO:0060544; GO:0060545; GO:0060546; GO:0062099; GO:0070105; GO:0070231; GO:0070266; GO:0070301; GO:0070513; GO:0070926; GO:0071356; GO:0071550; GO:0097190; GO:0097191; GO:0097300; GO:0097342; GO:0097343; GO:0097527; GO:0106310; GO:0106311; GO:1902041; GO:1902042; GO:1903800; GO:1905206; GO:1990000; GO:2000379; GO:2001237; GO:2001238	IPR011029;IPR000488;IPR011009;IPR000719;IPR025735;IPR037934;IPR001245;IPR008271;
Q13547	GO:0000118; GO:0000122; GO:0000785; GO:0000792; GO:0000978; GO:0000979; GO:0001046; GO:0001085; GO:0001103; GO:0002039; GO:0003714; GO:0004407; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006325; GO:0006338; GO:0006346; GO:0006357; GO:0006367; GO:0006476; GO:0007492; GO:0007596; GO:0008134; GO:0008284; GO:0009913; GO:0010629; GO:0016575; GO:0016580; GO:0016581; GO:0019213; GO:0019899; GO:0021766; GO:0030182; GO:0032041; GO:0032922; GO:0032991; GO:0033558; GO:0033613; GO:0035851; GO:0042475; GO:0042733; GO:0042826; GO:0043025; GO:0043044; GO:0043066; GO:0043124; GO:0043922; GO:0045652; GO:0045892; GO:0045893; GO:0045944; GO:0047485; GO:0048714; GO:0051059; GO:0052548; GO:0060766; GO:0060789; GO:0061029; GO:0061198; GO:0070491; GO:0070888; GO:0070932; GO:0070933; GO:0090090; GO:1900221; GO:1901796; GO:1904837; GO:1990841; GO:2000273; GO:2001243	IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;
Q13557	GO:0001558; GO:0002026; GO:0003254; GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005954; GO:0006357; GO:0006468; GO:0008016; GO:0010613; GO:0010649; GO:0010666; GO:0010880; GO:0010881; GO:0016020; GO:0018105; GO:0018107; GO:0019871; GO:0030666; GO:0031432; GO:0032469; GO:0033017; GO:0042383; GO:0042802; GO:0042803; GO:0043005; GO:0044325; GO:0046777; GO:0055119; GO:0060314; GO:0060333; GO:0060341; GO:0071277; GO:0086003; GO:0086091; GO:0098901; GO:0098909; GO:0106310; GO:0106311; GO:1900034; GO:1901725; GO:1901844; GO:1901897; GO:1902306; GO:1902514; GO:2000650	IPR013543;IPR011009;IPR032710;IPR000719;IPR017441;IPR008271;
Q13562	GO:0000785; GO:0000978; GO:0000981; GO:0001102; GO:0001228; GO:0003326; GO:0003329; GO:0003682; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0006913; GO:0007263; GO:0008134; GO:0009749; GO:0009952; GO:0021542; GO:0021549; GO:0022008; GO:0023019; GO:0030073; GO:0030182; GO:0031018; GO:0035881; GO:0035883; GO:0042493; GO:0042593; GO:0043065; GO:0045597; GO:0045666; GO:0045893; GO:0045944; GO:0046426; GO:0046982; GO:0048562; GO:0048666; GO:0048839; GO:0050796; GO:0051091; GO:0060730; GO:0070888; GO:0071156; GO:0071333; GO:0090575; GO:1990837; GO:2000675; GO:2000679	IPR011598;IPR036638;IPR032652;IPR022575;IPR016637;
Q13568	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0002376; GO:0005634; GO:0005737; GO:0005829; GO:0006357; GO:0006954; GO:0019221; GO:0019901; GO:0032481; GO:0032494; GO:0032495; GO:0032727; GO:0032728; GO:0032735; GO:0042802; GO:0043065; GO:0043565; GO:0045087; GO:0045944; GO:0051607; GO:0060333; GO:0060337; GO:1990837	IPR019817;IPR001346;IPR019471;IPR029838;IPR017855;IPR008984;IPR036388;IPR036390;
Q13569	GO:0000122; GO:0000287; GO:0003677; GO:0003684; GO:0003690; GO:0004844; GO:0005524; GO:0005634; GO:0005654; GO:0005886; GO:0006284; GO:0006285; GO:0006287; GO:0006298; GO:0006325; GO:0008134; GO:0008263; GO:0019104; GO:0019904; GO:0030983; GO:0031402; GO:0031404; GO:0032183; GO:0035511; GO:0040029; GO:0042803; GO:0043621; GO:0043739; GO:0045008; GO:0045995; GO:0080111; GO:1902544	IPR015637;IPR003310;IPR005122;IPR036895;
Q13573	GO:0000122; GO:0000398; GO:0003713; GO:0003714; GO:0003723; GO:0005112; GO:0005634; GO:0005654; GO:0005681; GO:0006357; GO:0006367; GO:0007219; GO:0007221; GO:0016032; GO:0016363; GO:0016604; GO:0016607; GO:0019899; GO:0030511; GO:0035257; GO:0042771; GO:0042809; GO:0042974; GO:0043923; GO:0045747; GO:0045892; GO:0045944; GO:0046332; GO:0048026; GO:0048384; GO:0048385; GO:0050681; GO:0050769; GO:0051571; GO:0070562; GO:0070564; GO:0071007; GO:0071013; GO:0071300	IPR017862;IPR004015;
Q13616	GO:0000082; GO:0000086; GO:0000209; GO:0002223; GO:0004842; GO:0005654; GO:0005829; GO:0005886; GO:0006513; GO:0006879; GO:0008283; GO:0009887; GO:0010265; GO:0010972; GO:0016032; GO:0016055; GO:0016567; GO:0019005; GO:0031146; GO:0031461; GO:0031625; GO:0038061; GO:0038095; GO:0043687; GO:0050852; GO:0051403; GO:0070498; GO:0070936; GO:0097193; GO:1901990; GO:1990452	IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;
Q13617	GO:0000082; GO:0004842; GO:0005654; GO:0005829; GO:0016032; GO:0016567; GO:0019005; GO:0030891; GO:0031146; GO:0031461; GO:0031462; GO:0031625; GO:0043687; GO:0044877; GO:0061418; GO:0097193	IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;
Q13618	GO:0000082; GO:0000122; GO:0000165; GO:0000209; GO:0000922; GO:0001831; GO:0005112; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005813; GO:0005827; GO:0005829; GO:0005886; GO:0006511; GO:0006513; GO:0006888; GO:0007080; GO:0007229; GO:0007369; GO:0008284; GO:0016020; GO:0016055; GO:0016477; GO:0016567; GO:0017145; GO:0030030; GO:0030332; GO:0031145; GO:0031208; GO:0031398; GO:0031461; GO:0031463; GO:0031625; GO:0031648; GO:0032467; GO:0035024; GO:0036126; GO:0040016; GO:0043149; GO:0043161; GO:0043687; GO:0044346; GO:0045842; GO:0048208; GO:0051865; GO:0061630; GO:0070062; GO:0071630; GO:0072576; GO:0072686; GO:0090090; GO:0097193; GO:1901992	IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;
Q13619	GO:0000082; GO:0000715; GO:0000717; GO:0001701; GO:0004842; GO:0005654; GO:0006283; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006974; GO:0008284; GO:0016032; GO:0016567; GO:0019005; GO:0030097; GO:0030853; GO:0031146; GO:0031461; GO:0031464; GO:0031625; GO:0033683; GO:0035019; GO:0042254; GO:0042769; GO:0043161; GO:0043687; GO:0048511; GO:0051246; GO:0070911; GO:0080008; GO:0097193; GO:1900087; GO:2000001; GO:2000819	IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;
Q13620	GO:0000082; GO:0000715; GO:0000717; GO:0004842; GO:0005654; GO:0005829; GO:0006283; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006974; GO:0010498; GO:0016567; GO:0019005; GO:0031146; GO:0031461; GO:0031465; GO:0031625; GO:0033683; GO:0035518; GO:0042254; GO:0042769; GO:0043687; GO:0070062; GO:0070911; GO:0070914; GO:0080008	IPR033044;IPR016157;IPR016158;IPR036317;IPR001373;IPR019559;IPR016159;IPR036388;IPR036390;
Q13625	GO:0002039; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0007049; GO:0007165; GO:0017124; GO:0030054; GO:0042802; GO:0042981; GO:0045786; GO:0048471; GO:0051059; GO:0072332; GO:1900119; GO:1900740; GO:1901216; GO:1901796	IPR002110;IPR020683;IPR036770;IPR036028;IPR001452;IPR029071;
Q13627	GO:0000381; GO:0003713; GO:0003779; GO:0004672; GO:0004674; GO:0004712; GO:0004713; GO:0004714; GO:0004715; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005856; GO:0006468; GO:0007399; GO:0007623; GO:0008092; GO:0015631; GO:0016032; GO:0016607; GO:0018105; GO:0018107; GO:0018108; GO:0030424; GO:0030425; GO:0031115; GO:0033120; GO:0034205; GO:0036289; GO:0038083; GO:0042802; GO:0043518; GO:0043621; GO:0045893; GO:0046777; GO:0048025; GO:0048156; GO:0050321; GO:0090312; GO:0106310; GO:0106311; GO:1990904	IPR028318;IPR011009;IPR044131;IPR000719;IPR017441;IPR008271;
Q13635	GO:0000122; GO:0001658; GO:0001701; GO:0001709; GO:0001843; GO:0003007; GO:0005113; GO:0005119; GO:0005634; GO:0005886; GO:0005901; GO:0007224; GO:0007346; GO:0007420; GO:0008158; GO:0008201; GO:0008589; GO:0009612; GO:0009887; GO:0009953; GO:0009957; GO:0010157; GO:0010875; GO:0014069; GO:0015485; GO:0016021; GO:0016485; GO:0021522; GO:0021532; GO:0021997; GO:0030326; GO:0030332; GO:0030496; GO:0030666; GO:0030850; GO:0032355; GO:0032526; GO:0032880; GO:0035108; GO:0035137; GO:0040015; GO:0042493; GO:0042593; GO:0043231; GO:0043433; GO:0043616; GO:0044294; GO:0044295; GO:0044877; GO:0045177; GO:0045606; GO:0045668; GO:0045879; GO:0045893; GO:0048471; GO:0048568; GO:0048745; GO:0050680; GO:0051782; GO:0060037; GO:0060170; GO:0060603; GO:0060644; GO:0060831; GO:0061005; GO:0061053; GO:0071397; GO:0071679; GO:0072203; GO:0072205; GO:0072659; GO:0097108; GO:0097421	IPR003392;IPR000731;IPR004766;
Q13642	GO:0003254; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0007517; GO:0009887; GO:0010972; GO:0030154; GO:0030308; GO:0043268; GO:0044325; GO:0046872; GO:1901016; GO:2000134	IPR042997;IPR001781;
Q13643	GO:0001725; GO:0003712; GO:0003779; GO:0005634; GO:0005925; GO:0007517; GO:0030018; GO:0030036; GO:0046872	IPR037987;IPR001781;
Q13761	GO:0000122; GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001503; GO:0002062; GO:0003700; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0006468; GO:0016513; GO:0030097; GO:0030182; GO:0043231; GO:0043371; GO:0043378; GO:0045595; GO:0045786; GO:0045893; GO:0048935; GO:0050680; GO:0071559; GO:1990837	IPR000040;IPR008967;IPR012346;IPR013524;IPR013711;IPR016554;
Q13769	GO:0000346; GO:0000347; GO:0000445; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006405; GO:0006406; GO:0008380; GO:0030224; GO:0031124; GO:0032786; GO:0046784; GO:0060215; GO:2000002	IPR019163;
Q13772	GO:0003713; GO:0005634; GO:0006622; GO:0006879; GO:0008584; GO:0009725; GO:0030520; GO:0044754; GO:0071391; GO:0071394	IPR022174;IPR039947;
Q13838	GO:0000245; GO:0000346; GO:0000398; GO:0001889; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0006405; GO:0006406; GO:0008186; GO:0008380; GO:0010501; GO:0016363; GO:0016607; GO:0016887; GO:0017070; GO:0030621; GO:0031124; GO:0032786; GO:0042802; GO:0043008; GO:0044877; GO:0045727; GO:0046784; GO:0061051; GO:1904707; GO:2000002; GO:2000573	IPR011545;IPR014001;IPR001650;IPR027417;IPR014014;
Q13886	GO:0000785; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0006357; GO:0007623; GO:0010839; GO:0046872; GO:0071387; GO:0097067	IPR036236;IPR013087;
Q13887	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005654; GO:0005667; GO:0005794; GO:0006357; GO:0008284; GO:0014816; GO:0014901; GO:0014908; GO:0030033; GO:0032534; GO:0043231; GO:0043426; GO:0045600; GO:0045944; GO:0046872; GO:0060576; GO:0061586; GO:0071407; GO:0099156; GO:1901653; GO:1902895; GO:1990830; GO:1990837	IPR030401;IPR036236;IPR013087;
Q13888	GO:0000438; GO:0000439; GO:0000717; GO:0002031; GO:0005634; GO:0005654; GO:0005669; GO:0005675; GO:0006283; GO:0006289; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006357; GO:0006361; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008270; GO:0009411; GO:0016032; GO:0016251; GO:0016607; GO:0033683; GO:0047485; GO:0070911; GO:1905776	IPR007198;IPR004595;IPR012170;IPR002035;IPR036465;IPR013087;IPR013083;
Q13889	GO:0000438; GO:0000439; GO:0000717; GO:0005634; GO:0005654; GO:0005669; GO:0005675; GO:0006281; GO:0006283; GO:0006289; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006361; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0016251; GO:0033683; GO:0046872; GO:0047485; GO:0070816; GO:0070911; GO:0097550	IPR004600;IPR036465;
Q13901	GO:0000176; GO:0000178; GO:0000460; GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006364; GO:0006915; GO:0010468	IPR011082;IPR007146;
Q13950	GO:0000785; GO:0000978; GO:0000981; GO:0001503; GO:0001649; GO:0002062; GO:0003700; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0030097; GO:0030182; GO:0030509; GO:0045595; GO:0045669; GO:0045892; GO:0045893; GO:0045944; GO:0060260; GO:0071773; GO:1901522; GO:1990837	IPR000040;IPR008967;IPR012346;IPR013524;IPR027384;IPR013711;IPR016554;
Q13951	GO:0000122; GO:0000209; GO:0001649; GO:0001959; GO:0003713; GO:0005654; GO:0006357; GO:0006366; GO:0016020; GO:0016513; GO:0030098; GO:0030099; GO:0030111; GO:0033146; GO:0043371; GO:0043378; GO:0043565; GO:0045589; GO:0045616; GO:0045637; GO:0045652; GO:0045944; GO:0048469; GO:0050855; GO:0060216; GO:0060260; GO:1902036; GO:2000810	IPR003417;IPR036552;
Q13952	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0006457; GO:0008134; GO:0016602; GO:0019216; GO:0032993; GO:0046982; GO:0090575	IPR009072;IPR007125;
Q14004	GO:0000307; GO:0000380; GO:0002945; GO:0003723; GO:0004672; GO:0004693; GO:0005524; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005794; GO:0005829; GO:0006368; GO:0006468; GO:0007088; GO:0007275; GO:0008024; GO:0008284; GO:0008353; GO:0016032; GO:0016607; GO:0019901; GO:0019908; GO:0030097; GO:0030332; GO:0032968; GO:0043312; GO:0070816; GO:0106310; GO:0106311; GO:1904813; GO:2000737	IPR011009;IPR000719;IPR017441;IPR008271;
Q14005	GO:0005125; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0005925; GO:0006955; GO:0016032; GO:0016607; GO:0019221; GO:0030595; GO:0032730; GO:0032735; GO:0032755; GO:0042609; GO:0050729; GO:0050930; GO:0051924; GO:0090543; GO:1902565	IPR020450;IPR001478;IPR036034;
Q14012	GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005829; GO:0006468; GO:0006913; GO:0007049; GO:0007165; GO:0007268; GO:0007399; GO:0010976; GO:0014069; GO:0018105; GO:0030154; GO:0032091; GO:0032880; GO:0033138; GO:0043393; GO:0045944; GO:0046827; GO:0051147; GO:0051149; GO:0051835; GO:0060143; GO:0060999; GO:0071902; GO:0098978; GO:0106310; GO:0106311; GO:1901985	IPR011009;IPR000719;IPR017441;IPR008271;
Q14103	GO:0000398; GO:0001889; GO:0003680; GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006355; GO:0006396; GO:0006401; GO:0008134; GO:0010468; GO:0016070; GO:0021549; GO:0032204; GO:0035925; GO:0042162; GO:0042752; GO:0042789; GO:0042826; GO:0043488; GO:0045202; GO:0045727; GO:0045893; GO:0045944; GO:0048255; GO:0051592; GO:0051602; GO:0061158; GO:0071230; GO:0071392; GO:0071732; GO:0097167; GO:1901355; GO:1904355; GO:1904383; GO:1904586; GO:1905663; GO:1990828; GO:1990904	IPR012956;IPR012677;IPR035979;IPR000504;
Q14106	GO:0003714; GO:0005634; GO:0005737; GO:0005829; GO:0007292; GO:0008285; GO:0010468; GO:0042809; GO:0045671; GO:0045778	IPR002087;IPR009818;IPR036054;IPR015676;IPR015678;
Q14114	GO:0001523; GO:0001540; GO:0004888; GO:0005041; GO:0005509; GO:0005615; GO:0005875; GO:0005886; GO:0005901; GO:0006508; GO:0006629; GO:0006897; GO:0007165; GO:0007268; GO:0008035; GO:0009986; GO:0014069; GO:0016020; GO:0016021; GO:0019221; GO:0019894; GO:0021517; GO:0021541; GO:0021819; GO:0030229; GO:0030424; GO:0030425; GO:0032793; GO:0034185; GO:0038024; GO:0038025; GO:0038026; GO:0042493; GO:0042981; GO:0043025; GO:0043235; GO:0045088; GO:0047485; GO:0048306; GO:0048813; GO:0050731; GO:0050804; GO:0061003; GO:0061098; GO:0071363; GO:0071397; GO:1900006	IPR011042;IPR001881;IPR000742;IPR000152;IPR018097;IPR036055;IPR023415;IPR000033;IPR002172;
Q14119	GO:0000977; GO:0000981; GO:0001228; GO:0001525; GO:0001885; GO:0005634; GO:0005654; GO:0006357; GO:0006968; GO:0045603; GO:0045944; GO:0046872	IPR036236;IPR013087;
Q14134	GO:0000122; GO:0002039; GO:0005764; GO:0005912; GO:0008270; GO:0042802; GO:0045087; GO:0098641; GO:1900181	IPR000315;
Q14135	GO:0001223; GO:0005634; GO:0030178; GO:0030308; GO:0035331; GO:0045892; GO:0060044; GO:1903364	IPR006627;IPR028184;
Q14140	GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0030308; GO:0048096	IPR009263;
Q14142	GO:0000209; GO:0003713; GO:0005654; GO:0005737; GO:0005741; GO:0005829; GO:0008270; GO:0010468; GO:0010508; GO:0016567; GO:0019901; GO:0032880; GO:0032897; GO:0042803; GO:0043123; GO:0045087; GO:0045335; GO:0046596; GO:0051091; GO:0051092; GO:0061630	IPR001870;IPR043136;IPR003879;IPR013320;IPR006574;IPR003877;IPR044116;IPR000315;
Q14145	GO:0001701; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0005884; GO:0006511; GO:0008134; GO:0010506; GO:0016032; GO:0016234; GO:0016567; GO:0016579; GO:0030496; GO:0031463; GO:0032436; GO:0034451; GO:0034599; GO:0042802; GO:0042994; GO:0043433; GO:0043687; GO:0045604; GO:0071353; GO:0097718	IPR011705;IPR017096;IPR000210;IPR030563;IPR015915;IPR006652;IPR011333;
Q14147	GO:0000184; GO:0000956; GO:0003723; GO:0003724; GO:0005524; GO:0016020; GO:0016787; GO:2000623	IPR011709;IPR007502;IPR014001;IPR001650;IPR027417;
Q14149	GO:0003723; GO:0005654; GO:0006468; GO:0007569; GO:0008270; GO:0009791; GO:0016032; GO:0016363; GO:0016605; GO:0018105; GO:0035064; GO:0048147; GO:0050821; GO:0051457	IPR036890;IPR041006;IPR011124;
Q14151	GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0016604; GO:0042802; GO:0043231; GO:0043565; GO:0050684; GO:0060008; GO:0060765; GO:0070062	IPR012677;IPR035979;IPR000504;IPR034782;IPR003034;IPR036361;
Q14186	GO:0000083; GO:0000785; GO:0000981; GO:0000987; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006357; GO:0006366; GO:0006977; GO:0008134; GO:0008544; GO:0019904; GO:0043276; GO:0045944; GO:0051091; GO:0070317; GO:0070345; GO:0090575; GO:1900087; GO:1900740; GO:2000278	IPR028313;IPR037241;IPR003316;IPR038168;IPR014889;IPR015648;IPR036388;IPR036390;
Q14188	GO:0000083; GO:0000785; GO:0000981; GO:0003677; GO:0005634; GO:0005654; GO:0005739; GO:0006357; GO:0006977; GO:0007507; GO:0008134; GO:0019904; GO:0045892; GO:0045944; GO:0070317; GO:0072686; GO:0090575; GO:1900740	IPR037241;IPR003316;IPR038168;IPR014889;IPR015648;IPR036388;IPR036390;
Q14190	GO:0000122; GO:0000785; GO:0000977; GO:0000981; GO:0003677; GO:0003700; GO:0005654; GO:0006357; GO:0007399; GO:0009880; GO:0016604; GO:0030154; GO:0030324; GO:0046982	IPR011598;IPR036638;IPR001610;IPR000014;IPR035965;IPR013767;IPR013655;IPR010578;
Q14191	GO:0000287; GO:0000400; GO:0000403; GO:0000405; GO:0000723; GO:0000724; GO:0000731; GO:0000781; GO:0003677; GO:0003678; GO:0003682; GO:0004386; GO:0004527; GO:0005524; GO:0005634; GO:0005654; GO:0005657; GO:0005694; GO:0005730; GO:0005737; GO:0005813; GO:0006259; GO:0006260; GO:0006268; GO:0006281; GO:0006284; GO:0006302; GO:0006310; GO:0006974; GO:0006979; GO:0007420; GO:0007568; GO:0007569; GO:0008408; GO:0009267; GO:0009378; GO:0010225; GO:0010259; GO:0016607; GO:0016887; GO:0030145; GO:0031297; GO:0032201; GO:0032405; GO:0032508; GO:0040009; GO:0042803; GO:0042981; GO:0043005; GO:0043138; GO:0044806; GO:0044877; GO:0051345; GO:0051880; GO:0061749; GO:0061820; GO:0061821; GO:0061849; GO:0070337; GO:0071480; GO:0090399; GO:0090656; GO:0098530; GO:1901796; GO:1902570; GO:1905773	IPR002562;IPR011545;IPR004589;IPR014001;IPR001650;IPR029491;IPR010997;IPR002121;IPR027417;IPR032284;IPR012337;IPR036397;IPR018982;IPR036388;IPR036390;
